linux-firmware-marvell 20220708.be7798e-1
linux-firmware-qlogic 20220708.be7798e-1
linux-headers 5.19.1.arch2-1
linux-lts 5.15.60-1
linux-lts-headers 5.15.60-1
llvm 14.0.6-3
logrotate 3.20.1-1
lsb-release 2.0.r48.3cf5103-1
lsscsi 0.32-1
lvm2 2.03.16-2
lxappearance 0.6.3-4
m4 1.4.19-1
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
mc 4.8.28-1
mdadm 4.2-2
megasync-bin 4.6.7-2
memtest86+ 5.31b-1
mesa 22.1.6-1
mesa-utils 8.5.0-2
mintstick-git r227.7508130-1
mkinitcpio 31-3
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20220725-1
modemmanager 1.18.10-2
mtools 1:4.0.40-1
mtpfs 1.1-4
nano 6.4-1
nbd 3.24-1
ndisc6 1.0.5-1
neofetch 7.1.0-2
neovide 0.9.0-3
neovim 0.7.2-3
network-manager-applet 1.28.0-1
networkmanager 1.38.4-1
networkmanager-openconnect 1.2.8-2
networkmanager-openvpn 1.8.18-2
networkmanager-pptp 1.2.10-2
networkmanager-vpnc 1.2.8-2
nfs-utils 2.6.2-1
nilfs-utils 2.2.9-1
nitrogen 1.6.1-4
noto-fonts 20220607-1
nss-mdns 0.15.1-1
ntfs-3g 2022.5.17-1
ntp 4.2.8.p15-1
numlockx 1.2-5
nvidia-lts 1:515.65.01-4
nvme-cli 2.0-3
oh-my-zsh-git r6630.bb6c14cdf-1
open-iscsi 2.1.7-2
openconnect 1:9.01-2
openresolv 3.12.0-1
openssh 9.0p1-1
openvpn 2.5.7-1
os-prober 1.80-1
p7zip 1:17.04-3
pacman 6.0.1-7
papirus-icon-theme 20220808-1
partclone 0.3.20-2
parted 3.5-1
partimage 0.6.9-13
paru-bin 1.11.1-1
patch 2.7.6-8
pavucontrol 1:5.0+r35+g964f298-1
pcsclite 1.9.8-1
picom 9.1-3
pkgconf 1.8.0-1
pkgfile 21-2
playerctl 2.4.1-2
polkit 121-1
polkit-gnome 0.105-9
poppler-glib 22.08.0-1
poppler-qt5 22.08.0-1
ppp 2.4.9-1
pptpclient 1.10.0-2
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-1
pv 1.6.20-2
python-pyparted 3.11.7-2
qpm-bin v0.11.0-1
qt5-webkit 5.212.0alpha4-15
qt5ct 1.5-2
rate-mirrors-bin 0.10.0-1
rcm 1.3.5-1
redshift 1.12-5
refind 0.13.3.1-1
reflector 2021.11-5
reiserfsprogs 3.6.27-3
ripgrep 13.0.0-2
ristretto 0.12.3-1
rofi 1.7.3-1
rp-pppoe 3.15-2
rsync 3.2.5pre2-1
rxvt-unicode 9.30-1
rxvt-unicode-terminfo 9.30-1
sardi-icons 22.07-01
screen 4.9.0-1
scrot 1.7-1
sddm 0.19.0-8
sdparm 1.12-1
sed 4.8-1
sg3_utils 1.47-1
slack-desktop 4.27.156-1
smartmontools 7.3-1
sof-firmware 2.2-1
speedtest-cli-git 2.1.3.r1.g22210ca-1
splix 2.0.0-16
squashfs-tools 4.5.1-1
sudo 1.9.11.p3-1
surfn-icons-git 22.07-02
sxhkd 0.6.2-2
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.16-1
tcpdump 4.99.1-1
terminus-font 4.49.1-2
termite 16.4-2
testdisk 7.1-4
texinfo 6.8-2
the_silver_searcher 2.2.0-2
thunar 4.16.11-2
thunar-archive-plugin 0.5.0-2
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
tlp 1.5.0-5
tmux 3.3_a-2
tpm2-tss 3.2.0-1
ttf-cascadia-code 2111.01-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-fira-code 6.2-2
ttf-fira-mono 2:3.206-4
ttf-font-awesome 6.1.2-1
ttf-hack 3.003-3
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-6
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
ttf-ubuntu-font-family 0.83-8
tumbler 4.16.1-1
udftools 2.3-1
udiskie 2.4.2-1
udisks2 2.9.4-1
unace 2.5-11
unclutter 1:1.6-2
unrar 1:6.1.7-1
unzip 6.0-19
upd72020x-fw 20200826-3
upower 0.99.20-1
urxvt-fullscreen 1-1
urxvt-perls 2.3-2
urxvt-resize-font-git 27.b593580-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-1
usbutils 014-2
variety 0.8.9-3
vicious 2.5.1-1
vim 9.0.0135-1
visual-studio-code-bin 1.70.1-1
volumeicon 0.5.1-5
vpnc 1:0.5.3.r506.r204-1
w3m 0.5.3.git20220409_1-1
wd719x-firmware 1-7
webkit2gtk 2.36.6-1
wget 1.21.3-1
which 2.21-5
wireless-regdb 2022.06.06-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
wpa_supplicant 2:2.10-5
wvdial 1.61-8
xapp 2.2.14-1
xcursor-breeze 1:5.22.5-1
xcursor-simp1e-gruvbox-dark 5.0-1
xcursor-simp1e-gruvbox-light 5.0-1
xdg-desktop-portal-gtk 1.14.0-1
xdg-user-dirs 0.18-1
xdo 0.5.7-2
xdotool 3.20211022.1-1
xf86-input-elographics 1.4.2-3
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.1-1
xf86-input-vmmouse 13.1.0-6
xf86-input-void 1.4.1-6
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r9.g5eba006e-2
xf86-video-fbdev 0.5.0-3
xf86-video-nouveau 1.0.17-2
xf86-video-openchrome 0.6.0.r754.g15c868a-1
xf86-video-vesa 2.5.0-3
xfce4-appfinder 4.16.1-2
xfce4-notifyd 0.6.3-1
xfce4-panel 4.16.4-1
xfce4-power-manager 4.16.0-3
xfce4-screenshooter 1.9.11-1
xfce4-settings 4.16.3-1
xfce4-taskmanager 1.5.4-1
xfce4-terminal 1.0.4-1
xfconf 4.16.0-2
xfsprogs 5.18.0-1
xfwm4 4.16.1-3
xl2tpd 1.3.17-1
xorg-bdftopcf 1.1-3
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.4-1
xorg-sessreg 1.1.2-3
xorg-setxkbmap 1.3.3-1
xorg-smproxy 1.0.6-4
xorg-x11perf 1.6.1-3
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.7-3
xorg-xdpyinfo 1.3.3-4
xorg-xdriinfo 1.0.6-3
xorg-xev 1.2.5-1
xorg-xgamma 1.0.6-4
xorg-xhost 1.0.8-3
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-4
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.5-3
xorg-xlsatoms 1.1.3-3
xorg-xlsclients 1.1.4-3
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.4-3
xorg-xsetroot 1.1.2-3
xorg-xvinfo 1.1.4-3
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-3
xorg-xwud 1.0.6-1
yad 12.0-1
yay-bin 11.2.0-1
zathura 0.4.9-1
zathura-cb 0.1.9-1
zathura-djvu 0.2.9-1
zathura-pdf-poppler 0.3.0-1
zenity 3.43.0-1
zoom 5.11.3-1
zsh 5.9-1
zsh-autosuggestions-git 0.7.0.r0.ga411ef3-1
zsh-completions 0.34.0-2
zsh-syntax-highlighting 0.7.1-1
